month,location,grid_squaresX,grid_squaresY,aq,utctimestamp,period,test_period
Aug-15,Westferry Road/Limehouse Link jnct,537100,180791,,2015-08-01,before,
Aug-15,Millwall Park,538259,178688,24.6,2015-08-01,before,
Aug-15,Devas Street /Devons road,537821,182332,43.7,2015-08-01,before,
Aug-15,"Cascades, Westferry Road",537115,180074,40.8,2015-08-01,before,
Aug-15,Zetland Street/A12,538178,181747,67.9,2015-08-01,before,
Aug-15,Chrisp Street/E India Dock Road ,537940,181021,55.5,2015-08-01,before,
Aug-15,Rich Street,536937,180987,31.0,2015-08-01,before,
Aug-15,Bow Rd/Alfred St,537056,182773,36.7,2015-08-01,before,
Aug-15,Blair Street (End of Street),538366,181180,47.0,2015-08-01,before,
Aug-15,Hale Street,537661,180768,25.9,2015-08-01,before,
Aug-15,TH Cemetery Park,536730,182363,18.8,2015-08-01,before,
Aug-15,Mast House Terrace,537348,178690,30.4,2015-08-01,before,
Aug-15,Ackroyd Drive,536767,181771,34.2,2015-08-01,before,
Aug-15,John Smith Mews,538742,180756,32.6,2015-08-01,before,
Aug-15,Watney Market,534938,181257,31.5,2015-08-01,before,
Aug-15,Seyssel Street,538545,178767,32.2,2015-08-01,before,
Aug-15,Wentworth Mews,536452,182454,42.5,2015-08-01,before,
Aug-15,Philpot St/Commercial Road,534816,181321,41.2,2015-08-01,before,
Aug-15,Harford St/Mile End Rd,536089,182258,41.5,2015-08-01,before,
Aug-15,Brodlove Lane,535598,180816,39.3,2015-08-01,before,
Aug-15,Buckfast St/Bethnal Green Rd,534259,182580,34.9,2015-08-01,before,
Aug-15,Paradise Row/Bethnal Green Rd,534959,182757,46.3,2015-08-01,before,
Aug-15,Bethnal Green Rd/ Brick Lane,533860,182442,45.2,2015-08-01,before,
Aug-15,Ben Johnson Road,536080,181721,38.2,2015-08-01,before,
Aug-15,Globe Rd/Mile End Rd,535295,182820,39.5,2015-08-01,before,
Aug-15,Brick Lane/Princelet St,533866,181860,36.3,2015-08-01,before,
Aug-15,Wapping High St/Sampson St,534444,180122,28.4,2015-08-01,before,
Aug-15,Cavell St/Stepney Way,534884,181667,36.1,2015-08-01,before,
Aug-15,Whitechapel High St (KFC),533985,181426,61.9,2015-08-01,before,
Aug-15,Rhodeswell Rd,536574,181338,35.8,2015-08-01,before,
Aug-15,Dellow St/The Highway,534951,180779,57.0,2015-08-01,before,
Aug-15,Commercial St/Calvin St,533583,182066,,2015-08-01,before,
Aug-15,Stepney Green,535545,181604,,2015-08-01,before,
Aug-15,Grove Rd/Old Ford Rd,535930,183385,40.8,2015-08-01,before,
Aug-15,Wapping Wall/Garnet St,535132,180337,28.0,2015-08-01,before,
